Глубина манометра;Dшт;Рзаб;Рлин;Руст_2;Рзаб_2;Рлин_2;Туст;Тна шлейфе;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит смеси;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Ro_c;Удельная плотность газа ;G_total;КГФ
3576.3;7.94;370.1;101.8;249.0;359.6;101.8;53.0;31.7;103.2;32.5;83.6;0.4;231.25;56.8;45.25;56.5;;93.6;801.0;0.6694;2.78;311.91
3576.3;9.53;364.6;101.3;231.0;338.1;102.4;58.8;37.6;103.0;38.6;104.7;1.4;309.0;56.8;45.25;56.5;;92.9;801.0;0.6694;3.7;288.6
3576.3;11.11;357.1;101.6;211.0;314.8;100.6;63.6;42.8;105.11;43.4;114.3;1.9;388.11;56.8;45.25;56.5;;91.4;801.0;0.6694;4.52;248.79
3576.3;12.7;347.4;98.4;187.0;291.5;99.0;64.7;46.2;105.11;46.1;121.3;3.3;455.21;56.8;45.25;56.5;;89.2;801.0;0.6694;5.22;223.56
3576.3;14.29;337.7;99.2;169.0;270.3;99.5;64.0;49.4;104.4;49.9;129.8;4.6;504.59;56.8;45.25;56.5;;89.7;801.0;0.6694;5.77;215.15
3576.3;9.53;286.4;106.36;199.5;286.6;106.19;57.5;38.8;105.11;38.98;76.8;0.6;268.9;56.8;41.22;48.3;;90.7;789.8;0.675;3.08;241.13
3667.0;7.94;354.33;102.93;252.0;354.2;101.57;56.0;;105.3;33.0;56.07;0.0;261.28;57.2;38.74;50.86;50.1;100.9;787.0;0.66;;188.0
3667.0;9.53;350.2;103.19;250.0;349.1;103.32;61.0;;105.2;39.06;73.89;0.0;362.08;57.2;38.74;50.86;50.1;100.1;787.0;0.66;;178.00000000000003
3667.0;11.11;344.0;105.67;240.0;344.1;105.59;65.0;;105.2;44.9;92.13;1.01;476.2;57.2;38.74;50.86;50.1;102.0;787.0;0.66;;168.99999999999997
3667.0;12.7;336.7;108.1;228.0;343.0;108.14;42.0;;105.1;49.84;109.81;1.38;589.14;57.2;38.74;50.86;50.1;103.8;787.0;0.66;;162.0
3579.0;7.94;365.86;103.47;259.0;365.9;101.42;52.0;27.2;105.9;28.09;70.73;1.14;257.64;62.57;41.23;;;93.2;793.7;0.66;;230.0
3579.0;9.53;342.27;103.2;239.0;342.3;104.18;58.0;34.6;105.7;35.1;79.58;1.66;327.84;62.57;41.23;;;92.0;793.7;0.66;;201.0
3579.0;11.11;312.27;103.19;212.0;312.3;103.0;61.0;41.2;105.2;41.11;85.5;2.59;410.02;62.57;41.23;;;93.7;793.7;0.66;;172.0
3579.0;12.7;291.74;103.23;194.0;291.7;103.92;62.0;43.7;104.5;44.14;86.21;3.16;449.65;62.57;41.23;;;89.6;793.7;0.66;;157.0
3579.0;14.29;263.03;107.38;166.0;263.0;107.54;63.0;49.2;103.4;49.75;88.07;3.51;509.05;62.57;41.23;;;90.3;793.7;0.66;;141.0
3582.5;9.53;292.0;105.51;206.0;292.0;105.03;56.0;37.4;104.6;37.79;59.9;0.8;285.54;62.6;;49.7;;92.1;783.0;0.67;;172.0
3653.0;9.53;388.7;89.65;268.0;388.6;86.75;48.0;21.0;105.32;22.03;138.98;0.86;398.4;63.6;53.27;56.7;56.8;99.7;798.0;0.654;4.71;295.5
3653.0;12.7;308.8;97.88;197.0;308.7;92.46;54.0;35.0;105.22;35.41;151.79;0.7;496.81;63.6;53.27;56.7;56.8;99.2;798.0;0.654;5.73;255.68
3653.0;14.29;270.5;100.8;162.0;270.4;81.15;52.0;34.0;105.12;33.83;143.15;0.43;509.73;63.6;53.27;56.7;56.8;98.9;798.0;0.654;5.78;233.96
3653.0;15.88;239.3;100.8;136.0;239.3;79.54;51.0;38.0;105.02;37.26;137.68;0.41;513.33;63.6;53.27;56.7;56.8;100.8;798.0;0.654;5.76;223.11
3653.0;14.29;251.3;100.8;151.0;285.3;100.26;50.0;;105.11;31.99;114.88;0.34;476.68;63.6;53.27;56.7;56.8;97.0;798.0;0.654;5.25;199.63
